GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
nart,com.nart.vo,RequestVo,40,294,26,28,0,17,23,23,0,19
nart,com.nart.vo,PageVo,16,92,4,6,0,8,6,9,2,8
nart,com.nart.vo,GroupVo,47,319,26,32,2,23,24,24,0,19
nart,com.nart.vo,MessageVo,65,518,47,39,0,50,40,30,0,27
nart,com.nart.vo,InviteVo,45,332,29,33,0,18,26,26,0,21
nart,com.nart.vo,StatusVo,83,583,50,38,1,67,43,29,2,26
nart,com.nart.util.upload,IpUtils,107,0,28,0,25,0,18,0,4,0
nart,com.nart.util.upload,ImgtuUtil,798,0,70,0,158,0,55,0,19,0
nart,com.nart.util.upload,FileType,77,0,12,0,21,0,11,0,4,0
nart,com.nart.util.upload,HttpUtil,210,0,14,0,48,0,14,0,7,0
nart,com.nart.util.upload,HttpContextUtils,8,0,0,0,2,0,2,0,2,0
nart,com.nart.util.upload,TypeDict,19,0,4,0,6,0,5,0,2,0
nart,com.nart.pojo,UserLike,70,99,25,5,0,4,15,11,0,11
nart,com.nart.pojo,GroupChat,45,270,29,21,0,8,24,20,0,19
nart,com.nart.pojo,Comment,46,252,32,22,0,7,26,18,0,17
nart,com.nart.pojo,Group,57,342,29,37,0,14,29,28,2,22
nart,com.nart.pojo,User,126,688,64,86,0,19,64,52,4,37
nart,com.nart.pojo,FriendReq,43,212,27,19,0,6,22,16,0,15
nart,com.nart.pojo,Status,205,162,45,19,0,9,33,20,2,19
nart,com.nart.pojo,FriendChat,50,274,33,23,0,8,27,20,0,19
nart,com.nart.pojo,GroupInvite,52,246,32,22,0,7,26,18,0,17
nart,com.nart.pojo,Message,139,142,41,7,0,7,30,11,6,11
nart,com.nart.pojo,DataCounter,91,122,21,3,0,7,18,11,6,11
nart,com.nart.pojo,UserGroup,44,220,24,18,0,7,20,18,0,17
nart,com.nart.pojo,Friend,72,484,40,62,0,13,40,40,1,28
nart,com.nart.controller,UploadController,77,0,10,0,20,0,9,0,4,0
nart,com.nart.controller,StatusController,248,0,18,0,58,0,14,0,5,0
nart,com.nart.controller,AdminController,266,0,32,0,73,0,29,0,13,0
nart,com.nart.controller,UserController,98,0,6,0,21,0,10,0,7,0
nart,com.nart.controller,ChatController,155,0,18,0,40,0,13,0,4,0
nart,com.nart.controller,GroupController,161,0,18,0,44,0,19,0,10,0
nart,com.nart.controller,FriendController,152,0,20,0,43,0,19,0,9,0
nart,com.nart.controller,CommentController,61,0,6,0,15,0,6,0,3,0
nart,com.nart.common,ChatEndPoint,183,0,6,0,50,0,12,0,9,0
nart,com.nart.common,LogAspect,381,0,14,0,69,0,14,0,7,0
nart,com.nart.service.impl,AdminServiceImpl,248,0,10,0,64,0,18,0,13,0
nart,com.nart.service.impl,CommentServiceImpl,0,142,0,8,0,35,0,8,0,4
nart,com.nart.service.impl,UserServiceImpl,0,434,5,39,0,95,5,28,0,11
nart,com.nart.service.impl,DataCounterServiceImpl,0,83,0,10,0,26,0,11,0,6
nart,com.nart.service.impl,GroupServiceImpl,1,690,4,32,0,167,4,27,0,13
nart,com.nart.service.impl,LoginServiceImpl,0,228,0,22,0,47,0,16,0,5
nart,com.nart.service.impl,FriendServiceImpl,9,589,3,31,2,137,3,24,0,10
nart,com.nart.service.impl,LoadDataInDataBaseImpl,0,650,9,53,0,150,9,35,0,13
nart,com.nart.service.impl,StatusServiceImpl,0,287,2,18,0,71,2,15,0,7
nart,com.nart.service.impl,ChatServiceImpl,3,470,2,24,2,108,2,22,0,11
